left_image,right_image,distance_m
left001.png,right001.png,0.5
left002.png,right002.png,0.5
left003.png,right003.png,0.5
left004.png,right004.png,0.5
left005.png,right005.png,0.5
left006.png,right006.png,0.5
left007.png,right007.png,0.5
left008.png,right008.png,0.5
left009.png,right009.png,0.5
left010.png,right010.png,0.5
left011.png,right011.png,0.5
left012.png,right012.png,0.5
left013.png,right013.png,0.5
left014.png,right014.png,0.5
left015.png,right015.png,0.5
left016.png,right016.png,0.5
left017.png,right017.png,0.5
left018.png,right018.png,0.5
left019.png,right019.png,1
left020.png,right020.png,1
left021.png,right021.png,1
left022.png,right022.png,1
left023.png,right023.png,1
left024.png,right024.png,1
left025.png,right025.png,1
left026.png,right026.png,1
left027.png,right027.png,1
left028.png,right028.png,1
left029.png,right029.png,1
left030.png,right030.png,1
left031.png,right031.png,1
left032.png,right032.png,1
left033.png,right033.png,1.5
left034.png,right034.png,1.5
left035.png,right035.png,1.5
left036.png,right036.png,1.5
left037.png,right037.png,1.5
left038.png,right038.png,1.5
left039.png,right039.png,1.5
left040.png,right040.png,1.5
left041.png,right041.png,1.5
left042.png,right042.png,1.5
left043.png,right043.png,1.5
left044.png,right044.png,1.5
left045.png,right045.png,1.5
left046.png,right046.png,1.5
left047.png,right047.png,1.5
left048.png,right048.png,2
left049.png,right049.png,2
left050.png,right050.png,2
left051.png,right051.png,2
left052.png,right052.png,2
left053.png,right053.png,2
left054.png,right054.png,2
left055.png,right055.png,2
left056.png,right056.png,2
left057.png,right057.png,2
left058.png,right058.png,2
left059.png,right059.png,2
left060.png,right060.png,2
left061.png,right061.png,2
left062.png,right062.png,2.5
left063.png,right063.png,2.5
left064.png,right064.png,2.5
left065.png,right065.png,2.5
left066.png,right066.png,2.5
left067.png,right067.png,2.5
left068.png,right068.png,2.5
left069.png,right069.png,2.5
left070.png,right070.png,2.5
left071.png,right071.png,2.5
left072.png,right072.png,2.5
left073.png,right073.png,2.5
left074.png,right074.png,2.5
left075.png,right075.png,2.5
left076.png,right076.png,2.5
left077.png,right077.png,2.5
left078.png,right078.png,2.5
left079.png,right079.png,3
left080.png,right080.png,3
left081.png,right081.png,3
left082.png,right082.png,3
left083.png,right083.png,3
left084.png,right084.png,3
left085.png,right085.png,3
left086.png,right086.png,3
left087.png,right087.png,3
left088.png,right088.png,3
left089.png,right089.png,3
left090.png,right090.png,3
left091.png,right091.png,3
left092.png,right092.png,3
left093.png,right093.png,3
left094.png,right094.png,3
left095.png,right095.png,3
